correct accession	correct AKA	matched xml accession	matched xml AKA
KM233079	KM233079|Makona-G3798|2014-06-15	KM233085	KM233085_ManoRiver_G3808_189|2014-06-15
KM233078	KM233078|Makona-G3796|2014-06-15	KM233044, KM233045	KM233044_ManoRiver_EM121_200|2014-06-04, KM233045_ManoRiver_EM124p1_200|2014-06-04
KM233075	KM233075|Makona-G3788|2014-06-14	KM233048	KM233048_ManoRiver_EM124p4_195|2014-06-09
KM233074	KM233074|Makona-G3787|2014-06-14	KM233090	KM233090_ManoRiver_G3816_189|2014-06-15
KM233077	KM233077|Makona-G3795|2014-06-15	KM233093	KM233093_ManoRiver_G3819_189|2014-06-15
KM233076	KM233076|Makona-G3789.1|2014-06-14	KM233088	KM233088_ManoRiver_G3810p2_187|2014-06-17
KM233071	KM233071|Makona-G3771|2014-06-12	KM034561	KM034561_ManoRiver_G3683p1_203|2014-06-01
KM233070	KM233070|Makona-G3770.2|2014-06-14	KM233078, KM233075	KM233078_ManoRiver_G3796_189|2014-06-15, KM233075_ManoRiver_G3788_190|2014-06-14
KM233073	KM233073|Makona-G3786|2014-06-14	KM233044, KM233045	KM233044_ManoRiver_EM121_200|2014-06-04, KM233045_ManoRiver_EM124p1_200|2014-06-04
KM233072	KM233072|Makona-G3782|2014-06-14	KM233081	KM233081_ManoRiver_G3800_189|2014-06-15
KP260799	KP260799|Makona-Mali-DPR1|2014-10-23	KP260799	KP260799|Makona-Mali-DPR1|2014-10-23
KM034549	KM034549|Makona-EM095B|2014-06-01	KM034552	KM034552_ManoRiver_EM098_203|2014-06-01
KM233080	KM233080|Makona-G3799|2014-06-15	KM233073	KM233073_ManoRiver_G3786_190|2014-06-14
KM233081	KM233081|Makona-G3800|2014-06-15	KM233041, KM233042	KM233041_ManoRiver_EM115_201|2014-06-03, KM233042_ManoRiver_EM119_201|2014-06-03
KM233082	KM233082|Makona-G3805.1|2014-06-15	KM233114	KM233114_ManoRiver_G3856p3_184|2014-06-20
KM233083	KM233083|Makona-G3805.2|2014-06-20	KM233115	KM233115_ManoRiver_G3857_186|2014-06-18
KM233084	KM233084|Makona-G3807|2014-06-15	KM233036	KM233036_ManoRiver_EM106_202|2014-06-02
KM233085	KM233085|Makona-G3808|2014-06-15	KM233094	KM233094_ManoRiver_G3820_189|2014-06-15
KM233086	KM233086|Makona-G3809|2014-06-15	KM233105	KM233105_ManoRiver_G3838_187|2014-06-17
KM233087	KM233087|Makona-G3810.1|2014-06-15	KM233106	KM233106_ManoRiver_G3840_187|2014-06-17
KM233088	KM233088|Makona-G3810.2|2014-06-17	KM233037	KM233037_ManoRiver_EM110_201|2014-06-03
KM233089	KM233089|Makona-G3814|2014-06-15	KM233067	KM233067_ManoRiver_G3769p3_189|2014-06-15
KM034555	KM034555|Makona-G3676.2|2014-06-01	KM034555	KM034555_ManoRiver_G3676p2_203|2014-06-01
KM034554	KM034554|Makona-G3676.1|2014-06-01	KM034554	KM034554_ManoRiver_G3676p1_203|2014-06-01
KM034557	KM034557|Makona-G3677.2|2014-06-01	KM233052	KM233052_ManoRiver_G3713p4_191|2014-06-13
KM034556	KM034556|Makona-G3677.1|2014-06-01	KM034562	KM034562_ManoRiver_G3686p1_203|2014-06-01
KM034551	KM034551|Makona-EM096|2014-06-01	KM034557	KM034557_ManoRiver_G3677p2_203|2014-06-01
KM034550	KM034550|Makona-EM095|2014-06-01	KM034553	KM034553_ManoRiver_G3670p1_203|2014-06-01
KM034553	KM034553|Makona-G3670.1|2014-06-01	KM233107	KM233107_ManoRiver_G3841_187|2014-06-17
KM034552	KM034552|Makona-EM098|2014-06-01	KM233117	KM233117_ManoRiver_NM042p2_195|2014-06-09
KM233035	KM233035|Makona-EM104|2014-06-02	KM233043	KM233043_ManoRiver_EM120_201|2014-06-03
KM034559	KM034559|Makona-G3680.1|2014-06-01	KM034556	KM034556_ManoRiver_G3677p1_203|2014-06-01
KM034558	KM034558|Makona-G3679.1|2014-06-01	KM233108	KM233108_ManoRiver_G3845_186|2014-06-18
