"correct" "matching"
"1" "KM233079" "KM233085"
"3" "KM233075" "KM233048"
"4" "KM233074" "KM233090"
"5" "KM233077" "KM233093"
"6" "KM233076" "KM233088"
"7" "KM233071" "KM034561"
"10" "KM233072" "KM233081"
"11" "KP260799" "KP260799"
"12" "KM034549" "KM034552"
"13" "KM233080" "KM233073"
"15" "KM233082" "KM233114"
"16" "KM233083" "KM233115"
"17" "KM233084" "KM233036"
"18" "KM233085" "KM233094"
"19" "KM233086" "KM233105"
"20" "KM233087" "KM233106"
"21" "KM233088" "KM233037"
"22" "KM233089" "KM233067"
"23" "KM034555" "KM034555"
"24" "KM034554" "KM034554"
"25" "KM034557" "KM233052"
"26" "KM034556" "KM034562"
"27" "KM034551" "KM034557"
"28" "KM034550" "KM034553"
"29" "KM034553" "KM233107"
"30" "KM034552" "KM233117"
"31" "KM233035" "KM233043"
"32" "KM034559" "KM034556"
"33" "KM034558" "KM233108"
"34" "KM233093" "KM233101"
"35" "KM233092" "KM233082"
"36" "KM233091" "KM233087"
"37" "KM233090" "KM233118"
"38" "KM233097" "KM233074"
"39" "KM233096" "KM233080"
"40" "KM233095" "KM233103"
"42" "KM233099" "KM233071"
"43" "KM233036" "KM233083"
"44" "KP260801" "KP260801"
"45" "KP260800" "KP260800"
"47" "KP260802" "KP260802"
"48" "KM233039" "KM233070"
"50" "KM233098" "KM233059"
"51" "KM233044" "KM233057"
"52" "KM233045" "KM233084"
"53" "KM233046" "KM233100"
"54" "KM233047" "KM233035"
"55" "KM233040" "KM034559"
"56" "KM233041" "KM233086"
"57" "KM233042" "KM233046"
"58" "KM233043" "KM233104"
"59" "KM233048" "KM233098"
"60" "KM233049" "KM034560"
"61" "KJ660346" "KJ660346"
"62" "KJ660348" "KJ660348"
"63" "KM233118" "KM233116"
"65" "KM233056" "KM233062"
"66" "KM233055" "KM233092"
"67" "KM233054" "KM233072"
"68" "KM233053" "KM233061"
"69" "KM233052" "KM233051"
"70" "KM233051" "KM233050"
"71" "KM233050" "KM233049"
"72" "KM233116" "KM034558"
"73" "KM233117" "KM233113"
"74" "KM233114" "KM233079"
"75" "KM233115" "KM233099"
"76" "KM233112" "KM233058"
"77" "KM233113" "KM233077"
"78" "KM233110" "KM233053"
"79" "KM233058" "KM233109"
"80" "KJ660347" "KJ660347"
"81" "KM233059" "KM233110"
"82" "KM233111" "KM233112"
"83" "KM034560" "KM233054"
"84" "KM034561" "KM034550"
"85" "KM034562" "KM034549"
"86" "KM034563" "KM034551"
"89" "KM233062" "KM233038"
"91" "KM233060" "KM233111"
"92" "KM233061" "KM233089"
"93" "KM233066" "KM233095"
"94" "KM233067" "KM233047"
"95" "KM233064" "KM233102"
"97" "KM233101" "KM233097"
"98" "KM233100" "KM034563"
"99" "KM233103" "KM233060"
"100" "KM233102" "KM233063"
"101" "KM233105" "KM233056"
"102" "KM233104" "KM233091"
"103" "KM233107" "KM233096"
"104" "KM233106" "KM233064"
"105" "KM233109" "KM233076"
"941" "KM233078" "KM233044"
"951" "KM233070" "KM233078"
"96" "KM233073" "KM233045"
"971" "KM233081" "KM233041"
"981" "KM233094" "KM233042"
"991" "KM233037" "KM233055"
"1001" "KM233038" "KM233068"
"1011" "KM233057" "KM233066"
"1021" "KM233068" "KM233039"
"1031" "KM233069" "KM233075"
"1041" "KM233063" "KM233065"
"1051" "KM233065" "KM233040"
"106" "KM233108" "KM233069"
