accession,collection date,hap ID in correct,,,97,,,hap ID in XML,label ,acc,pat,day,order
KM034549,01/06/14,94,,,1,,,91,KM034549_ManoRiver_EM095B_203,KM034549,EM095B,203,94
KM034550,01/06/14,95,,,1,,,92,KM034550_ManoRiver_EM095_203,KM034550,EM095,203,95
KM034551,01/06/14,7,,,1,,,93,KM034551_ManoRiver_EM096_203,KM034551,EM096,203,96
KM034552,01/06/14,89,,,1,,,94,KM034552_ManoRiver_EM098_203,KM034552,EM098,203,97
KM034553,01/06/14,79,,,1,,,95,KM034553_ManoRiver_G3670p1_203,KM034553,G3670p1,203,98
KM034554,01/06/14,96,,,0,,,96,KM034554_ManoRiver_G3676p1_203,KM034554,G3676p1,203,99
KM034555,01/06/14,5,,,0,,,5,KM034555_ManoRiver_G3676p2_203,KM034555,G3676p2,203,1
KM034556,01/06/14,12,,,1,,,6,KM034556_ManoRiver_G3677p1_203,KM034556,G3677p1,203,2
KM034557,01/06/14,28,,,1,,,7,KM034557_ManoRiver_G3677p2_203,KM034557,G3677p2,203,3
KM034558,01/06/14,80,,,1,,,8,KM034558_ManoRiver_G3679p1_203,KM034558,G3679p1,203,4
KM034559,01/06/14,6,,,1,,,9,KM034559_ManoRiver_G3680p1_203,KM034559,G3680p1,203,5
KM034560,01/06/14,30,,,1,,,10,KM034560_ManoRiver_G3682p1_203,KM034560,G3682p1,203,6
KM034561,01/06/14,92,,,1,,,11,KM034561_ManoRiver_G3683p1_203,KM034561,G3683p1,203,7
KM034562,01/06/14,91,,,1,,,12,KM034562_ManoRiver_G3686p1_203,KM034562,G3686p1,203,8
KM034563,01/06/14,93,,,1,,,13,KM034563_ManoRiver_G3687p1_203,KM034563,G3687p1,203,9
KM233035,02/06/14,20,,,1,,,14,KM233035_ManoRiver_EM104_202,KM233035,EM104,202,10
KM233036,02/06/14,55,,,1,,,15,KM233036_ManoRiver_EM106_202,KM233036,EM106,202,11
KM233037,03/06/14,31,,,1,,,16,KM233037_ManoRiver_EM110_201,KM233037,EM110,201,12
KM233038,03/06/14,31,,,1,,,17,KM233038_ManoRiver_EM111_201,KM233038,EM111,201,13
KM233039,03/06/14,43,,,1,,,18,KM233039_ManoRiver_EM112_201,KM233039,EM112,201,14
KM233040,03/06/14,9,,,1,,,18,KM233040_ManoRiver_EM113_201,KM233040,EM113,201,15
KM233041,03/06/14,58,,,1,,,19,KM233041_ManoRiver_EM115_201,KM233041,EM115,201,16
KM233042,03/06/14,22,,,1,,,19,KM233042_ManoRiver_EM119_201,KM233042,EM119,201,17
KM233043,03/06/14,76,,,1,,,20,KM233043_ManoRiver_EM120_201,KM233043,EM120,201,18
KM233044,04/06/14,33,,,1,,,21,KM233044_ManoRiver_EM121_200,KM233044,EM121,200,19
KM233045,04/06/14,56,,,1,,,21,KM233045_ManoRiver_EM124p1_200,KM233045,EM124p1,200,20
KM233046,06/06/14,72,,,1,,,88,KM233116_ManoRiver_NM042p1_200,KM233116,NM042p1,200,91
KM233047,08/06/14,14,,,1,,,29,KM233053_ManoRiver_G3724_199,KM233053,G3724,199,28
KM233048,09/06/14,70,,,1,,,22,KM233046_ManoRiver_EM124p2_198,KM233046,EM124p2,198,21
KM233049,06/06/14,10,,,1,,,25,KM233049_ManoRiver_G3707_198,KM233049,G3707,198,24
KM233050,09/06/14,25,,,1,,,30,KM233054_ManoRiver_G3729_197,KM233054,G3729,197,29
KM233051,11/06/14,26,,,1,,,31,KM233055_ManoRiver_G3734p1_197,KM233055,G3734p1,197,30
KM233052,13/06/14,27,,,1,,,32,KM233056_ManoRiver_G3735p1_197,KM233056,G3735p1,197,31
KM233053,05/06/14,37,,,1,,,23,KM233047_ManoRiver_EM124p3_196,KM233047,EM124p3,196,22
KM233054,07/06/14,45,,,1,,,24,KM233048_ManoRiver_EM124p4_195,KM233048,EM124p4,195,23
KM233055,07/06/14,64,,,1,,,26,KM233050_ManoRiver_G3713p2_195,KM233050,G3713p2,195,25
KM233056,07/06/14,38,,,1,,,33,KM233057_ManoRiver_G3735p2_195,KM233057,G3735p2,195,32
KM233057,09/06/14,41,,,1,,,89,KM233117_ManoRiver_NM042p2_195,KM233117,NM042p2,195,92
KM233058,10/06/14,81,,,1,,,34,KM233058_ManoRiver_G3750p1_194,KM233058,G3750p1,194,33
KM233059,12/06/14,82,,,1,,,37,KM233061_ManoRiver_G3752_194,KM233061,G3752,194,36
