name,collection date,hap ID
KP260799|Makona-Mali-DPR1|2014-10-23,KP260799,2014-10-23,1
KP260800|Makona-Mali-DPR2|2014-11-12,KP260800,2014-11-12,2
KP260801|Makona-Mali-DPR3|2014-11-21,KP260801,2014-11-21,3
KP260802|Makona-Mali-DPR4|2014-11-12,KP260802,2014-11-12,4
KM034555_ManoRiver_G3676p2_203|2014-06-01,KM034555,2014-06-01,81
KM034556_ManoRiver_G3677p1_203|2014-06-01,KM034556,2014-06-01,82
KM034557_ManoRiver_G3677p2_203|2014-06-01,KM034557,2014-06-01,12
KM034558_ManoRiver_G3679p1_203|2014-06-01,KM034558,2014-06-01,11
KM034559_ManoRiver_G3680p1_203|2014-06-01,KM034559,2014-06-01,8
KM034560_ManoRiver_G3682p1_203|2014-06-01,KM034560,2014-06-01,9
KM034561_ManoRiver_G3683p1_203|2014-06-01,KM034561,2014-06-01,10
KM034562_ManoRiver_G3686p1_203|2014-06-01,KM034562,2014-06-01,20
KM034563_ManoRiver_G3687p1_203|2014-06-01,KM034563,2014-06-01,19
KM233035_ManoRiver_EM104_202|2014-06-02,KM233035,2014-06-02,13
KM233036_ManoRiver_EM106_202|2014-06-02,KM233036,2014-06-02,14
KM233037_ManoRiver_EM110_201|2014-06-03,KM233037,2014-06-03,15
KM233038_ManoRiver_EM111_201|2014-06-03,KM233038,2014-06-03,16
KM233039_ManoRiver_EM112_201|2014-06-03,KM233039,2014-06-03,17
KM233040_ManoRiver_EM113_201|2014-06-03,KM233040,2014-06-03,17
KM233041_ManoRiver_EM115_201|2014-06-03,KM233041,2014-06-03,18
KM233042_ManoRiver_EM119_201|2014-06-03,KM233042,2014-06-03,18
KM233043_ManoRiver_EM120_201|2014-06-03,KM233043,2014-06-03,5
KM233044_ManoRiver_EM121_200|2014-06-04,KM233044,2014-06-04,6
KM233045_ManoRiver_EM124p1_200|2014-06-04,KM233045,2014-06-04,6
KM233046_ManoRiver_EM124p2_198|2014-06-06,KM233046,2014-06-06,7
KM233047_ManoRiver_EM124p3_196|2014-06-08,KM233047,2014-06-08,21
KM233048_ManoRiver_EM124p4_195|2014-06-09,KM233048,2014-06-09,22
KM233049_ManoRiver_G3707_198|2014-06-06,KM233049,2014-06-06,23
KM233050_ManoRiver_G3713p2_195|2014-06-09,KM233050,2014-06-09,24
KM233051_ManoRiver_G3713p3_193|2014-06-11,KM233051,2014-06-11,25
KM233052_ManoRiver_G3713p4_191|2014-06-13,KM233052,2014-06-13,34
KM233053_ManoRiver_G3724_199|2014-06-05,KM233053,2014-06-05,33
KM233054_ManoRiver_G3729_197|2014-06-07,KM233054,2014-06-07,35
KM233055_ManoRiver_G3734p1_197|2014-06-07,KM233055,2014-06-07,28
KM233056_ManoRiver_G3735p1_197|2014-06-07,KM233056,2014-06-07,31
KM233057_ManoRiver_G3735p2_195|2014-06-09,KM233057,2014-06-09,32
KM233058_ManoRiver_G3750p1_194|2014-06-10,KM233058,2014-06-10,37
KM233059_ManoRiver_G3750p2_192|2014-06-12,KM233059,2014-06-12,36
KM233060_ManoRiver_G3750p3_190|2014-06-14,KM233060,2014-06-14,44
KM233061_ManoRiver_G3752_194|2014-06-10,KM233061,2014-06-10,38
KM233062_ManoRiver_G3758_193|2014-06-11,KM233062,2014-06-11,39
KM233063_ManoRiver_G3764_192|2014-06-12,KM233063,2014-06-12,40
